Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
"Sumner, TN",47165,0,19955,0,0,0,19133,0,0,0,19434,0,0,0,19538,0,0,0,19630,0,0,0,19894,0,0,0,20403,0,0,0,20424,0,0,0,21028,0,0,0,21692,0,0
"Tipton, TN",47167,0,7701,0,0,0,7409,0,0,0,7701,0,0,0,7837,0,0,0,8233,0,0,0,8524,0,0,0,9044,0,0,0,9429,0,0,0,9687,0,0,0,10138,0,0
"Trousdale, TN",47169,0,1131,0,0,0,1123,0,0,0,1128,0,0,0,1111,0,0,0,1152,0,0,0,1135,0,0,0,1140,0,0,0,1137,0,0,0,1156,0,0,0,1216,0,0
"Unicoi, TN",47171,0,2976,0,0,0,2861,0,0,0,2835,0,0,0,2743,0,0,0,2644,0,0,0,2621,0,0,0,2617,0,0,0,2598,0,0,0,2582,0,0,0,2625,0,0
"Union, TN",47173,0,2405,0,0,0,2359,0,0,0,2352,0,0,0,2328,0,0,0,2371,0,0,0,2386,0,0,0,2471,0,0,0,2599,0,0,0,2775,0,0,0,2826,0,0
"Van Buren, TN",47175,0,867,0,0,0,822,0,0,0,810,0,0,0,740,0,0,0,791,0,0,0,781,0,0,0,776,0,0,0,794,0,0,0,773,0,0,0,804,0,0
"Warren, TN",47177,0,6709,0,0,0,6206,0,0,0,6186,0,0,0,6091,0,0,0,6062,0,0,0,6025,0,0,0,6130,0,0,0,6233,0,0,0,6284,0,0,0,6240,0,0
"Washington, TN",47179,0,14838,0,0,0,14141,0,0,0,14168,0,0,0,14127,0,0,0,13994,0,0,0,14099,0,0,0,14380,0,0,0,14393,0,0,0,14647,0,0,0,14805,0,0
"Wayne, TN",47181,0,2843,0,0,0,2614,0,0,0,2603,0,0,0,2658,0,0,0,2609,0,0,0,2634,0,0,0,2634,0,0,0,2658,0,0,0,2661,0,0,0,2694,0,0
"Weakley, TN",47183,0,5257,0,0,0,5096,0,0,0,5032,0,0,0,5029,0,0,0,5030,0,0,0,4997,0,0,0,5018,0,0,0,5069,0,0,0,5147,0,0,0,5141,0,0
"White, TN",47185,0,3619,0,0,0,3587,0,0,0,3507,0,0,0,3503,0,0,0,3478,0,0,0,3507,0,0,0,3550,0,0,0,3578,0,0,0,3672,0,0,0,3778,0,0
"Williamson, TN",47187,0,14153,0,0,0,13899,0,0,0,14186,0,0,0,14492,0,0,0,14945,0,0,0,15702,0,0,0,16488,0,0,0,17700,0,0,0,18449,0,0,0,19239,0,0
"Wilson, TN",47189,0,12251,0,0,0,12335,0,0,0,12378,0,0,0,12424,0,0,0,12555,0,0,0,12859,0,0,0,13015,0,0,0,13153,0,0,0,13323,0,0,0,13788,0,0
TEXAS,48000,0,3209515,0,0,0,3236867,0,0,0,3282956,0,0,0,3268933,0,0,0,3382509,0,0,0,3464371,0,0,0,3535742,0,0,0,3601839,0,0,0,3670193,0,0,0,3740260,0,0
"Anderson, TX",48001,0,8203,0,0,0,8372,0,0,0,8536,0,0,0,8509,0,0,0,8434,0,0,0,8382,0,0,0,8469,0,0,0,8585,0,0,0,8696,0,0,0,8766,0,0
"Andrews, TX",48003,0,3714,0,0,0,3692,0,0,0,3771,0,0,0,3789,0,0,0,3715,0,0,0,3787,0,0,0,3714,0,0,0,3695,0,0,0,3633,0,0,0,3638,0,0
"Angelina, TX",48005,0,14559,0,0,0,14450,0,0,0,14671,0,0,0,14681,0,0,0,14559,0,0,0,14629,0,0,0,14793,0,0,0,15110,0,0,0,15340,0,0,0,15614,0,0
"Aransas, TX",48007,0,2777,0,0,0,2751,0,0,0,2833,0,0,0,2562,0,0,0,2757,0,0,0,2914,0,0,0,3090,0,0,0,3254,0,0,0,3272,0,0,0,3320,0,0
"Archer, TX",48009,0,1691,0,0,0,1715,0,0,0,1718,0,0,0,1748,0,0,0,1706,0,0,0,1750,0,0,0,1807,0,0,0,1813,0,0,0,1893,0,0,0,1976,0,0
"Armstrong, TX",48011,0,389,0,0,0,373,0,0,0,387,0,0,0,390,0,0,0,404,0,0,0,395,0,0,0,401,0,0,0,398,0,0,0,417,0,0,0,418,0,0
